PLAYER NAME,TEAM NAME,MATCHES  PLAYED,MINUTES PLAYED,GOALS,ASSISTS,SHOTS,CHANCE CREATED,PASSES,SHOTS ON TARGET,TOUCHES,AERIAL DUEL WON,FOULS,FOULS EARNED,YELLOW CARD,RED CARD,Overall
SUNIL CHHETRI,BENGALURU FC,149,11196,60,11,282,129,3221,152,4861,249,327,144,18,0,98777.06217246174
LALLIANZUALA CHHANGTE,MUMBAI CITY,134,10306,32,16,191,152,3073,114,5320,46,229,125,9,0,93325.41476435472
BIPIN SINGH THOUNAJAM,MUMBAI CITY,95,6827,24,11,110,92,1755,60,2946,30,113,49,3,0,58090.751476836456
LISTON COLACO,MOHAN BAGAN SUPER GIANTS,87,5371,15,15,156,75,1573,81,3054,23,202,148,4,1,49782.63503970315
SAHAL ABDUL SAMAD,MOHAN BAGAN SUPER GIANTS,102,6749,11,12,90,97,1994,34,3405,0,188,86,10,0,58390.64654230332
MANVIR SINGH,MOHAN BAGAN SUPER GIANTS,122,6815,19,11,130,101,2028,65,3328,184,136,59,4,0,61115.43824244258
ISHAN PANDITA,KERALA BLASTERS,55,1323,9,0,49,10,190,23,418,24,28,13,1,0,10108.148829188121
HALICHARAN NARZARY,BENGALURU FC,114,7334,9,15,102,117,2344,26,3933,84,156,81,3,0,66205.79721215306
VIKRAM PARTAP SINGH SANDHU,MUMBAI CITY,60,1696,8,1,44,23,487,20,972,25,92,44,10,1,16400.484597019386
JERRY MAWIHMINGTHANGA,ODISHA FC,114,8234,13,20,100,107,2060,41,3748,36,244,152,10,0,67067.08696318191
